LO,LA,FL
-7502.258616,4864884.176,2
-7518.012136,4864888.108,2
-7486.592439,4864893.907,2
-7486.255059,4864898.002,2
-7500.920005,4864862.961,2
-7488.940903,4864897.692,2
-7506.817532,4864852.448,2
-7514.1427,4864848.392,2
-7512.546555,4864842.57,2
-7504.082441,4864856.931,2
-7489.813466,4864865.145,2
-7477.610265,4864866.397,2
-7511.538592,4864852.926,2
-7504.517941,4864864.308,2
-7507.908969,4864862.646,2
-7474.945127,4864866.872,2
-7480.08485,4864867.131,2
-7457.177308,4864853.425,2
-7472.836672,4864864.53,2
-7467.658851,4864859.339,2
-7460.671773,4864859.179,2
-7336.805761,4864770.829,3
-7339.601488,4864767.498,3
-7339.95331,4864768.479,3
-7343.211001,4864752.971,3
-7341.970498,4864753.435,3
-7339.688353,4864760.385,3
-7340.210242,4864757.584,3
-7345.348062,4864750.03,3
-7342.010788,4864755.489,3
-7345.148964,4864749.367,3
-7345.082156,4864749.101,3
-7344.988535,4864749.199,3
-7401.410391,4864791.129,3
-7411.003465,4864790.807,3
-7411.886684,4864796.787,3
-7346.196635,4864748.731,3
-7404.585468,4864798.801,3
-7405.680924,4864791.903,3
-7412.111477,4864786.677,3
-7412.560129,4864787.734,3
-7412.502409,4864790.906,3
-7405.093024,4864790.035,3
-7402.998929,4864787.353,3
-7403.357509,4864788.548,3
-7399.076619,4864787.113,3
-7403.435955,4864789,3
-7397.585285,4864784.546,3
-7391.1866,4864784.831,3
-7397.717664,4864781.362,3
-7398.458361,4864779.878,3
-7414.080657,4864791.991,3
-7382.365197,4864783.58,3
-7392.512802,4864781.609,3
-7390.773229,4864783.188,3
-7388.485308,4864780.398,3
-7391.142244,4864780.57,3
-7384.618429,4864777.143,3
-7386.963523,4864779.3,3
-7396.04751,4864778.888,3
-7385.807362,4864778.004,3
-7378.414045,4864775.433,3
-7358.967507,4864787.136,3
-7380.115145,4864781.885,3
-7374.356845,4864774.294,3
-7365.169792,4864768.03,3
-7377.271903,4864774.72,3
-7372.785659,4864772.675,3
-7375.197566,4864933.796,3
-7361.830285,4864761.452,3
-7364.079191,4864764.174,3
-7361.846652,4864763.973,3
-7363.58784,4864767.204,3
-7359.733415,4864765.233,3
-7351.046642,4864758.089,3
-7360.438802,4864761.372,3
-7355.206816,4864757.771,3
-7357.450813,4864761.978,3
-7350.808345,4864758.125,3
-7350.656598,4864754.869,3
-7350.762297,4864755.208,3
-7351.345221,4864753.831,3
-7536.802089,4864924,2
-7539.082624,4864926.966,2
-7528.2584,4864927.346,2
-7349.651514,4864759.121,3
-7536.678882,4864931.645,2
-7530.368261,4864945.058,2
-7525.114423,4864934.093,2
-7523.839945,4864924.072,2
-7531.802266,4864938.092,2
-7514.909381,4864948.554,2
-7525.688312,4864948.827,2
-7559.622237,4864887.147,2
-7528.613461,4864959.431,2
-7566.141855,4864888.76,2
-7564.486413,4864870.285,2
-7562.198397,4864867.593,2
-7564.506102,4864883.106,2
-7564.907451,4864886.854,2
-7520.280289,4864892.347,2
-7519.172974,4864889.24,2
-7524.851905,4864892.513,2
-7556.626633,4864885.48,2
-7542.067595,4864895.785,2
-7516.650016,4864888.212,2
-7514.823999,4864891.915,2
-7516.768763,4864887.845,2
-7506.544102,4864885.459,2
-7481.184689,4864892.477,2
-7486.698142,4864900.126,2
-7518.174588,4864874.248,2
-7489.936654,4864897.692,2
-7502.102272,4864884.176,2
-7490.301489,4864877.275,2
-7501.334273,4864862.945,2
-7504.855966,4864857.987,2
-7507.054716,4864852.789,2
-7512.939022,4864842.462,2
-7513.980086,4864844.812,2
-7504.58269,4864870.727,2
-7511.903114,4864854.819,2
-7505.348501,4864863.195,2
-7474.055893,4864863.733,2
-7467.196389,4864859.339,2
-7485.457145,4864873.93,2
-7470.916129,4864864.292,2
-7338.095757,4864767.27,3
-7479.108381,4864867.131,2
-7343.008674,4864768.479,3
-7462.012897,4864852.052,2
-7476.009616,4864866.872,2
-7339.240499,4864758.228,3
-7342.912251,4864755.031,3
-7344.487021,4864756.805,3
-7342.715835,4864750.138,3
-7336.738944,4864769.086,3
-7341.747079,4864750.231,3
-7344.604361,4864753.623,3
-7344.688895,4864749.791,3
-7340.649448,4864756.993,3
-7344.201889,4864749.576,3
-7346.888786,4864748.046,3
-7402.89365,4864792.719,3
-7410.306126,4864802.99,3
-7409.263875,4864795.668,3
-7411.84367,4864795.071,3
-7410.438469,4864790.829,3
-7413.796456,4864787.794,3
-7412.374783,4864790.23,3
-7413.576857,4864785.094,3
-7401.552149,4864787.859,3
-7405.161771,4864789.961,3
-7402.705959,4864788.7,3
-7400.42587,4864789.023,3
-7398.429604,4864788.033,3
-7398.53882,4864779.878,3
-7398.399267,4864782.855,3
-7394.973218,4864784.925,3
-7385.756103,4864784.452,3
-7415.094263,4864795.401,3
-7390.927558,4864781.821,3
-7398.575922,4864779.878,3
-7391.376203,4864780.641,3
-7395.025833,4864784.411,3
-7390.040603,4864782.486,3
-7391.495908,4864780.685,3
-7384.593427,4864778.524,3
-7390.451504,4864778.83,3
-7386.800736,4864780.105,3
-7376.449798,4864774.248,3
-7384.436759,4864777.143,3
-7367.612752,4864764.718,3
-7371.977469,4864772.271,3
-7367.2934,4864779.118,3
-7375.017173,4864772.796,3
-7362.617321,4864791.75,3
-7368.029953,4864782.247,3
-7363.189131,4864767.11,3
-7368.871543,4864768.03,3
-7364.761411,4864765.297,3
-7351.547686,4864758.905,3
-7360.937626,4864763.329,3
-7358.496158,4864760.311,3
-7360.524525,4864773.875,3
-7353.458319,4864756.273,3
-7350.157035,4864758.089,3
-7355.099453,4864761.27,3
-7347.895363,4864753.876,3
-7354.987877,4864759.711,3
-7536.504986,4864922.13,2
-7351.511919,4864754.072,3
-7536.802598,4864932.887,2
-7348.48606,4864757.448,3
-7525.050678,4864941.786,2
-7526.099296,4864934.093,2
-7529.78674,4864940.467,2
-7525.189372,4864934.173,2
-7532.040006,4864922.784,2
-7532.061372,4864959.431,2
-7519.572169,4864948.554,2
-7522.70281,4864946.541,2
-7527.254669,4864944.47,2
-7567.537489,4864885.25,2
-7559.564087,4864886.718,2
-7565.61411,4864872.602,2
-7562.476974,4864869.032,2
-7556.845886,4864885.48,2
-7520.473593,4864891.715,2
-7521.087286,4864892.415,2
-7539.764784,4864895.785,2
-7561.269092,4864875.512,2
-7500.013275,4864892.73,2
-7511.874414,4864888.256,2
-7516.734802,4864888.338,2
-7522.306655,4864887.509,2
-7506.383586,4864888.532,2
-7513.906452,4864874.248,2
-7520.440228,4864892.347,2
-7501.688934,4864884.176,2
-7480.858762,4864892.716,2
-7484.971334,4864898.375,2
-7493.492998,4864865.652,2
-7501.878584,4864860.417,2
-7489.51757,4864895.167,2
-7506.077859,4864855.241,2
-7504.279228,4864857.987,2
-7514.047649,4864844.583,2
-7515.553721,4864846.842,2
-7504.489619,4864865.539,2
-7470.634138,4864864.424,2
-7482.194705,4864866.067,2
-7505.884843,4864863.195,2
-7511.76115,4864854.757,2
-7470.8283,4864864.527,2
-7467.615968,4864859.339,2
-7475.724921,4864866.646,2
-7479.618534,4864867.131,2
-7458.744504,4864852.083,2
-7348.13478,4864801.842,3
-7351.887413,4864758.103,3
-7338.453658,4864765.353,3
-7341.151125,4864768.073,3
-7343.920805,4864752.904,3
-7339.303077,4864759.957,3
-7343.843773,4864756.997,3
-7349.691499,4864757.794,3
-7344.546344,4864749.359,3
-7342.156888,4864753.77,3
-7344.1392,4864748.079,3
-7344.676474,4864749.527,3
-7339.719529,4864754.298,3
-7408.201407,4864802.982,3
-7405.688513,4864789.919,3
-7409.473243,4864799.795,3
-7408.704978,4864795.226,3
-7412.984843,4864788.756,3
-7412.87135,4864788.14,3
-7409.060144,4864791.385,3
-7413.446098,4864785.094,3
-7404.392623,4864789.944,3
-7396.37705,4864789.035,3
-7398.975755,4864785.89,3
-7404.181706,4864788.241,3
-7401.6428,4864785.415,3
-7397.878478,4864781.835,3
-7415.199095,4864795.477,3
-7399.625737,4864782.987,3
-7399.138643,4864779.878,3
-7392.245739,4864783.111,3
-7391.357363,4864780.534,3
-7390.778186,4864781.067,3
-7383.882786,4864781.035,3
-7395.573279,4864781.362,3
-7385.502073,4864773.319,3
-7391.464464,4864781.499,3
-7391.379655,4864781.229,3
-7392.274318,4864783.333,3
-7382.537952,4864777.728,3
-7369.263313,4864776.519,3
-7381.6204,4864777.433,3
-7376.740782,4864772.641,3
-7374.353909,4864771.232,3
-7362.450177,4864780.328,3
-7364.562352,4864764.274,3
-7361.076837,4864784.145,3
-7364.862844,4864767.433,3
-7364.227857,4864767.996,3
-7361.178447,4864759.467,3
-7359.769174,4864764.802,3
-7363.356052,4864764.481,3
-7363.527575,4864778.7,3
-7361.267643,4864764.127,3
-7348.475479,4864755.489,3
-7356.945837,4864761.317,3
-7350.390453,4864760.123,3
-7357.658038,4864760.138,3
-7348.546786,4864757.448,3
-7355.348207,4864755.177,3
-7352.963998,4864756.177,3
-7351.497816,4864759.83,3
-7525.574095,4864934.093,2
-7527.578058,4864927.737,2
-7527.06108,4864934.173,2
-7533.61161,4864925.08,2
-7537.704189,4864933.93,2
-7521.592984,4864944.506,2
-7531.441808,4864945.396,2
-7514.068363,4864949.041,2
-7530.321967,4864941.812,2
-7565.68954,4864883.516,2
-7559.636218,4864887.422,2
-7528.782012,4864950.156,2
-7529.507092,4864959.431,2
-7556.955573,4864885.82,2
-7539.179282,4864895.785,2
-7561.208505,4864871.781,2
-7562.389218,4864867.93,2
-7569.524474,4864870.032,2
-7515.769788,4864892.19,2
-7515.424117,4864891.374,2
-7519.792208,4864891.708,2
-7524.758303,4864890.788,2
-7514.721999,4864889.826,2
-7516.488208,4864889.526,2
-7517.885077,4864891.517,2
-7497.510481,4864887.167,2
-7510.38379,4864865.841,2
-7490.799099,4864892.318,2
-7501.943576,4864884.176,2
-7482.54431,4864894.964,2
-7485.820991,4864897.826,2
-7494.404895,4864865.601,2
-7503.370215,4864857.835,2
-7513.58733,4864842.245,2
-7506.203612,4864852.239,2
-7502.040414,4864860.417,2
-7510.511038,4864862.847,2
-7515.790478,4864846.522,2
-7504.487192,4864865.539,2
-7511.706353,4864854.757,2
-7475.907244,4864866.731,2
-7473.848311,4864864.527,2
-7468.320453,4864859.339,2
-7481.871471,4864866.872,2
-7471.355315,4864864.424,2
-7457.043635,4864853.93,2
-7458.591617,4864852.083,2
-7478.227425,4864866.968,2
-7461.720295,4864852.047,2
-7337.435546,4864765.353,3
-7339.422323,4864779.281,3
-7342.964015,4864758.775,3
-7355.456322,4864767.265,3
-7339.69891,4864757.284,3
-7341.954552,4864751.27,3
-7342.531704,4864752.935,3
-7343.780304,4864751.946,3
-7347.552472,4864758.089,3
-7344.712624,4864750.22,3
-7345.753595,4864748.079,3
-7341.661983,4864753.283,3
-7344.477161,4864749.928,3
-7409.01732,4864799.058,3
-7406.613363,4864801.574,3
-7413.246242,4864803.465,3
-7404.56773,4864794.536,3
-7409.444047,4864792.01,3
-7413.201947,4864785.094,3
-7413.930753,4864789.578,3
-7410.386062,4864787.749,3
-7404.104614,4864789.022,3
-7401.953025,4864783.796,3
-7401.73574,4864788.265,3
-7400.143712,4864786.553,3
-7406.194317,4864789.995,3
-7399.103298,4864784.758,3
-7414.084568,4864795.583,3
-7398.897171,4864779.878,3
-7393.712881,4864782.906,3
-7397.144378,4864781.835,3
-7398.165409,4864779.822,3
-7382.929067,4864787.135,3
-7391.271069,4864778.533,3
-7391.554367,4864780.612,3
-7385.614411,4864774.023,3
-7391.618633,4864779.827,3
-7388.201924,4864782.749,3
-7387.374603,4864781.283,3
-7382.474861,4864778.618,3
-7368.194558,4864803.069,3
-7380.007319,4864773.994,3
-7375.540819,4864776.26,3
-7382.484325,4864775.617,3
-7371.269849,4864772.416,3
-7368.041342,4864768.228,3
-7364.426424,4864765.31,3
-7368.358534,4864771.912,3
-7355.553043,4864758.869,3
-7364.74746,4864764.187,3
-7362.669536,4864773.042,3
-7365.146364,4864766.205,3
-7351.812417,4864759.392,3
-7356.662884,4864760.429,3
-7358.476416,4864763.103,3
-7357.190572,4864759.73,3
-7364.424172,4864769.877,3
-7350.854381,4864759.01,3
-7352.199701,4864756.783,3
-7351.18694,4864757.183,3
-7352.856621,4864755.837,3
-7537.319982,4864930.77,2
-7534.279538,4864923.655,2
-7538.889228,4864933.24,2
-7352.259533,4864758.649,3
-7527.388703,4864929.593,2
-7531.098391,4864944.47,2
-7530.360436,4864941.812,2
-7521.392726,4864937.979,2
-7527.870297,4864934.093,2
-7529.341537,4864959.431,2
-7558.569847,4864886.718,2
-7513.358123,4864948.603,2
-7528.531873,4864951.68,2
-7569.666047,4864870.032,2
-7561.192728,4864868.353,2
-7563.45973,4864879.441,2
-7560.599323,4864871.781,2
-7556.322544,4864885.82,2
-7538.12508,4864895.785,2
-7524.827644,4864880.698,2
-7517.37462,4864888.109,2
-7517.482987,4864890.165,2
-7510.99243,4864867.173,2
-7514.592101,4864890.165,2
-7501.230302,4864884.233,2
-7513.186273,4864889.007,2
-7520.275487,4864891.573,2
-7481.92273,4864893.012,2
-7485.682637,4864897.655,2
-7501.178614,4864865.279,2
-7491.098693,4864892.318,2
-7503.027652,4864859.479,2
-7492.193142,4864865.632,2
-7513.512022,4864844.66,2
-7515.970433,4864844.793,2
-7506.038893,4864853.232,2
-7512.028273,4864853.332,2
-7488.722408,4864888.597,2
-7504.51008,4864865.539,2
-7508.571651,4864862.847,2
-7470.427229,4864864.292,2
-7477.394718,4864866.872,2
-7466.819863,4864859.339,2
-7471.708473,4864864.908,2
-7480.79732,4864867.131,2
-7460.45444,4864852.081,2
-7462.194774,4864852.047,2
-7457.723637,4864853.93,2
-7355.285721,4864770.871,3
-7332.348473,4864765.353,3
-7337.91018,4864764.948,3
-7340.119098,4864757.43,3
-7340.031184,4864762.152,3
-7340.319474,4864750.83,3
-7342.191969,4864756.665,3
-7345.515618,4864758.453,3
-7341.825424,4864753.474,3
-7343.873508,4864750.617,3
-7344.42135,4864751.74,3
-7342.411385,4864754.164,3
-7344.945436,4864748.046,3
-7404.971435,4864795.059,3
-7409.248374,4864802.812,3
-7408.713168,4864800.006,3
-7410.478961,4864803.465,3
-7408.509922,4864791.427,3
-7412.462002,4864787.662,3
-7404.85613,4864788.68,3
-7402.162844,4864787.763,3
-7414.290872,4864789.76,3
-7413.435396,4864785.094,3
-7395.538718,4864783.573,3
-7404.185031,4864787.071,3
-7399.957915,4864784.48,3
-7398.062116,4864786.906,3
-7402.30965,4864788.736,3
-7398.268571,4864779.822,3
-7397.207693,4864781.835,3
-7391.265488,4864782.555,3
-7414.499565,4864793.424,3
-7390.774521,4864780.655,3
-7383.151086,4864796.391,3
-7391.582206,4864779.874,3
-7388.842184,4864780.628,3
-7395.482626,4864781.445,3
-7384.260883,4864777.238,3
-7391.091371,4864787.442,3
-7382.963874,4864778.647,3
-7384.184796,4864784.209,3
-7371.847358,4864778.82,3
-7378.977217,4864773.271,3
-7362.304617,4864767.837,3
-7369.452323,4864773.559,3
-7372.39705,4864790.172,3
-7368.929681,4864776.277,3
-7373.212966,4864772.416,3
-7361.883879,4864757.896,3
-7363.559631,4864768.83,3
-7362.482303,4864759.828,3
-7356.471985,4864762.05,3
-7364.666321,4864764.182,3
-7362.08515,4864760.152,3
-7356.10881,4864759.52,3
-7355.130534,4864760.788,3
-7353.948705,4864755.467,3
-7354.890078,4864759.662,3
-7351.308638,4864756.98,3
-7351.05674,4864759.038,3
-7351.336933,4864759.516,3
-7350.779634,4864757.271,3
-7533.463161,4864923.582,2
-7537.298081,4864924.859,2
-7536.678343,4864927.964,2
-7527.950401,4864930.64,2
-7531.612659,4864940.457,2
-7525.571404,4864934.093,2
-7523.24482,4864947.425,2
-7524.676228,4864941.786,2
-7512.621629,4864949.251,2
-7525.834569,4864950.749,2
-7529.398773,4864959.431,2
-7568.736853,4864873.807,2
-7559.370588,4864887.081,2
-7563.32055,4864879.441,2
-7556.703295,4864885.82,2
-7537.820805,4864895.785,2
-7560.851534,4864869.255,2
-7561.649132,4864868.353,2
-7517.148165,4864891.379,2
-7516.982022,4864888.212,2
-7516.413992,4864888.753,2
-7509.631101,4864882.831,2
-7527.681751,4864888.479,2
-7492.53921,4864900.052,3
-7514.602649,4864890.165,2
-7520.255153,4864891.573,2
-7507.21235,4864884.766,2
-7500.861201,4864884.468,2
-7484.319858,4864895.408,2
-7502.400901,4864861.284,2
-7483.563002,4864897.843,2
-7491.113374,4864872.136,2
-7511.642042,4864844.533,2
-7505.487118,4864853.024,2
-7502.520603,4864860.289,2
-7515.834502,4864844.597,2
-7504.619949,4864865.539,2
-7473.575594,4864864.424,2
-7479.54127,4864865.68,2
-7511.87865,4864854.61,2
-7506.426669,4864863.162,2
-7470.061337,4864864.292,2
-7471.079316,4864859.339,2
-7477.489292,4864866.805,2
-7480.13331,4864867.055,2
-7340.898283,4864768.665,3
-7458.650055,4864852.084,2
-7457.401157,4864853.93,2
-7461.617029,4864852.047,2
-7339.676958,4864762.38,3
-7350.385451,4864760.55,3
-7347.525265,4864772.142,3
-7340.66988,4864759.457,3
-7331.471891,4864765.353,3
-7340.580278,4864749.58,3
-7344.065462,4864753.287,3
-7338.152501,4864753.555,3
-7341.623523,4864754.997,3
-7411.361372,4864798.189,3
-7344.969185,4864749.576,3
-7343.837554,4864748.263,3
-7343.830161,4864751.297,3
-7398.273694,4864797.848,3
-7411.811875,4864790.829,3
-7407.521913,4864800.006,3
-7415.024693,4864803.465,3
-7410.140308,4864790.101,3
-7403.198008,4864786.936,3
-7413.490008,4864787.531,3
-7413.557786,4864785.094,3
-7402.26623,4864789.035,3
-7405.756552,4864790.127,3
-7399.325916,4864786.898,3
-7399.924907,4864784.48,3
-7405.196944,4864787.803,3
-7398.959825,4864784.436,3
-7381.468917,4864796.773,3
-7398.118166,4864781.835,3
-7414.798649,4864794.323,3
-7398.389985,4864779.822,3
-7390.918352,4864787.026,3
-7389.434283,4864780.57,3
-7390.34929,4864781.007,3
-7394.491655,4864778.699,3
-7389.626548,4864779.981,3
-7388.905106,4864787.997,3
-7384.988017,4864778.246,3
-7377.541836,4864782.792,3
-7382.681995,4864782.404,3
-7384.16249,4864778.064,3
-7377.792032,4864774.732,3
-7367.739172,4864766.677,3
-7369.268607,4864793.931,3
-7371.080578,4864773.753,3
-7362.383057,4864765.809,3
-7366.587704,4864767.162,3
-7369.494289,4864769.089,3
-7364.289462,4864764.257,3
-7362.35389,4864766.44,3
-7354.231825,4864758.114,3
-7354.119515,4864748.266,3
-7363.275435,4864761.43,3
-7361.140126,4864760.277,3
-7359.448616,4864760.961,3
-7352.485586,4864758.557,3
-7350.024677,4864757.081,3
-7359.695884,4864759.741,3
-7358.760148,4864755.501,3
-7349.434245,4864748.266,3
-7536.967515,4864928.345,2
-7533.992152,4864926.198,2
-7349.698449,4864757.075,3
-7533.748358,4864942.294,2
-7528.322537,4864930.64,2
-7525.64883,4864934.093,2
-7536.331639,4864924.642,2
-7525.650695,4864951.958,2
-7527.933153,4864958.718,2
-7516.46425,4864949.041,3
-7531.576001,4864949.532,2
-7522.329266,4864945.518,2
-7569.913362,4864883.054,2
-7561.834748,4864871.781,2
-7559.45583,4864887.081,2
-7563.808804,4864885.25,2
-7525.648608,4864887.727,2
-7561.723292,4864873.804,2
-7537.534873,4864895.785,2
-7519.581947,4864891.984,2
-7556.389218,4864885.767,2
-7512.588441,4864890.42,2
-7515.263614,4864889.059,2
-7492.52133,4864886.357,2
-7517.047476,4864888.65,2
-7486.523183,4864898.321,2
-7501.550351,4864884.575,2
-7502.061851,4864884.176,2
-7488.276311,4864892.381,2
-7490.463273,4864899.956,2
-7502.884145,4864860.557,2
-7500.493321,4864864.09,2
-7505.992974,4864851.379,2
-7490.054874,4864869.898,2
-7512.465781,4864853.54,2
-7516.133077,4864844.599,2
-7508.167038,4864843.691,2
-7504.674548,4864865.539,2
-7505.420819,4864863.195,2
-7481.032659,4864867.296,2
-7468.509365,4864859.339,2
-7472.220236,4864864.564,2
-7473.539407,4864864.361,2
-7461.671873,4864852.049,2
-7481.615408,4864867.131,2
-7458.784679,4864852.083,2
-7457.043406,4864853.89,2
-7475.556174,4864866.852,2
-7333.883336,4864768.53,3
-7341.525595,4864758.913,3
-7339.585857,4864761.714,3
-7358.903726,4864768.479,3
-7370.183052,4864784.673,1
-7344.486352,4864749.576,3
-7344.389906,4864757.04,3
-7340.639503,4864749.533,3
-7343.074737,4864752.58,3
-7345.121822,4864749.576,3
